Likes,Date,Location,Location_coord,Grid_coord,Post_url
209,2021/12/20 17:35,淡水老街廣場,"(25.169150318693575, 121.44411355507341)","(25.16, 121.44)",https://www.instagram.com/p/CXsyifMrcB-
168,2021/12/15 01:18,天母 新光三越,"(25.117919855936787, 121.53391151646441)","(25.12, 121.53)",https://www.instagram.com/p/CXeKsFfPuCi
184,2021/12/14 18:58,角落大院 Corner Studio,"(25.10739558430812, 121.31620226988332)","(25.1, 121.32)",https://www.instagram.com/p/CXdfMI7PMtA
38,2021/12/12 02:02,Mitsui Outlet Park 林口,"(25.0703060583, 121.3651887947)","(25.08, 121.36)",https://www.instagram.com/p/CXWhYOxvIi6
8956,2021/12/18 20:57,88號樂章 婚宴會館,"(25.0602089229, 121.5749104603)","(25.06, 121.58)",https://www.instagram.com/p/CXoADUsPFoc
188,2021/12/15 22:10,"Mandarin Oriental, Taipei 台北文華東方酒店","(25.0557416, 121.5481485)","(25.06, 121.54)",https://www.instagram.com/p/CXgaBLyp-6F
364,2021/12/18 19:47,"Mandarin Oriental, Taipei 台北文華東方酒店","(25.0557416, 121.5481485)","(25.06, 121.54)",https://www.instagram.com/p/CXn3_CqFa-b
259,2021/12/21 20:54,"Mandarin Oriental, Taipei 台北文華東方酒店","(25.0557416, 121.5481485)","(25.06, 121.54)",https://www.instagram.com/p/CXvuFkNpxfX
122,2021/12/13 16:12,花博公園舞蝶館,"(25.0693657194, 121.5241155423)","(25.06, 121.52)",https://www.instagram.com/p/CXangL_PkeJ
38,2021/12/16 22:58,捷運中山站線形公園,"(25.0542112989, 121.5205394433)","(25.06, 121.52)",https://www.instagram.com/p/CXjEUEnPKm5
3,2021/12/16 21:40,捷運中山站,"(25.0527837181, 121.5205509356)","(25.06, 121.52)",https://www.instagram.com/p/CXi7asJPgkF
20,2021/12/12 01:07,中山站,"(25.0524894114, 121.5204027119)","(25.06, 121.52)",https://www.instagram.com/p/CXWbI0EP3MN
5431,2021/12/15 22:00,中山站,"(25.0524894114, 121.5204027119)","(25.06, 121.52)",https://www.instagram.com/p/CXgY308FOUI
135,2021/12/16 18:01,中山站,"(25.0524894114, 121.5204027119)","(25.06, 121.52)",https://www.instagram.com/p/CXiiRayv1M8
140,2021/12/14 20:51,中山站商圈,"(25.0523695, 121.5217083333)","(25.06, 121.52)",https://www.instagram.com/p/CXdsITdvcJb
10,2021/12/18 15:18,中山站商圈,"(25.0523695, 121.5217083333)","(25.06, 121.52)",https://www.instagram.com/p/CXnZNefPWnE
767,2021/12/19 22:07,中山站商圈,"(25.0523695, 121.5217083333)","(25.06, 121.52)",https://www.instagram.com/p/CXqs0kvvHVb
366,2021/12/20 22:05,中山站商圈,"(25.0523695, 121.5217083333)","(25.06, 121.52)",https://www.instagram.com/p/CXtRb_VPEoj
140,2021/12/16 21:42,新光三越 台北南西店,"(25.052255313, 121.5210987395)","(25.06, 121.52)",https://www.instagram.com/p/CXi7nXNhuWn
240,2021/12/20 22:09,大稻埕碼頭貨櫃市集,"(25.0562650937, 121.5074720979)","(25.06, 121.5)",https://www.instagram.com/p/CXtR6BSPQra
158,2021/12/12 21:15,宏匯廣場,"(25.059806004, 121.4495474397)","(25.06, 121.44)",https://www.instagram.com/p/CXYlYmHP6Ho
153,2021/12/12 00:00,台茂購物中心 TaiMall Shopping Center,"(25.0531719287, 121.2884107232)","(25.06, 121.28)",https://www.instagram.com/p/CXWTYA8P6cC
76,2021/12/16 00:32,三重河堤＆鴨鴨公園,"(25.0512094, 121.4821706)","(25.05, 121.48)",https://www.instagram.com/p/CXgpokLDsl6
52,2021/12/16 09:07,三重河堤＆鴨鴨公園,"(25.0512094, 121.4821706)","(25.05, 121.48)",https://www.instagram.com/p/CXhlI6dvXbk
77,2021/12/16 21:16,三重河堤＆鴨鴨公園,"(25.0512094, 121.4821706)","(25.05, 121.48)",https://www.instagram.com/p/CXi4n1vPICd
132,2021/12/21 20:59,三重河堤＆鴨鴨公園,"(25.0512094, 121.4821706)","(25.05, 121.48)",https://www.instagram.com/p/CXvumt1PYeH
165,2021/12/12 15:26,鴨鴨公園,"(25.0485018406, 121.4904910171)","(25.05, 121.48)",https://www.instagram.com/p/CXX9WVrvNbg
344,2021/12/18 23:37,鴨鴨公園,"(25.0485018406, 121.4904910171)","(25.05, 121.48)",https://www.instagram.com/p/CXoST8Zv3Dv
4,2021/12/19 21:04,鴨鴨公園,"(25.0485018406, 121.4904910171)","(25.05, 121.48)",https://www.instagram.com/p/CXqlqP8pomG
205,2021/12/21 17:18,Gogoro 聖誕能量樹,"(25.035524675447355, 121.56608662608251)","(25.04, 121.56)",https://www.instagram.com/p/CXvVVO3vSR9
67,2021/12/21 18:05,Gogoro 聖誕能量樹,"(25.035524675447355, 121.56608662608251)","(25.04, 121.56)",https://www.instagram.com/p/CXvavvtlPTq
3,2021/12/21 18:57,Gogoro 聖誕能量樹,"(25.035524675447355, 121.56608662608251)","(25.04, 121.56)",https://www.instagram.com/p/CXvgruEFVTO
186,2021/12/12 22:33,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.039440, 121.567713)","(25.04, 121.56)",https://www.instagram.com/p/CXYuRgvvS0d
104,2021/12/14 12:53,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.039440, 121.567713)","(25.04, 121.56)",https://www.instagram.com/p/CXc1aa2FIln
350,2021/12/16 11:33,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.039440, 121.567713)","(25.04, 121.56)",https://www.instagram.com/p/CXh165BBD_A
455,2021/12/16 12:27,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.039440, 121.567713)","(25.04, 121.56)",https://www.instagram.com/p/CXh8HECPFo6
561,2021/12/18 10:57,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.039440, 121.567713)","(25.04, 121.56)",https://www.instagram.com/p/CXm7adnP75p
204,2021/12/19 15:35,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.039440, 121.567713)","(25.04, 121.56)",https://www.instagram.com/p/CXp__e2LODi
139,2021/12/21 13:35,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.039440, 121.567713)","(25.04, 121.56)",https://www.instagram.com/p/CXu737mr8du
601,2021/12/21 18:51,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.039440, 121.567713)","(25.04, 121.56)",https://www.instagram.com/p/CXvf9w_PFWP
2067,2021/12/20 22:00,台北W飯店,"(25.04084, 121.56556)","(25.04, 121.56)",https://www.instagram.com/p/CXtQ3CoPIRZ
209,2021/12/16 11:16,微風信義 Breeze Xin Yi,"(25.0407766174, 121.5666925907)","(25.04, 121.56)",https://www.instagram.com/p/CXhz9YRPSPk
41,2021/12/20 18:06,微風信義 Breeze Xin Yi,"(25.0407766174, 121.5666925907)","(25.04, 121.56)",https://www.instagram.com/p/CXs2DQGlgWe
321,2021/12/12 11:35,新光三越 台北信義新天地,"(25.0378839456, 121.5669386408)","(25.04, 121.56)",https://www.instagram.com/p/CXXi7NGlsFe
139,2021/12/12 20:48,新光三越 台北信義新天地,"(25.0378839456, 121.5669386408)","(25.04, 121.56)",https://www.instagram.com/p/CXYiPLtvm99
127,2021/12/13 03:20,新光三越 台北信義新天地,"(25.0378839456, 121.5669386408)","(25.04, 121.56)",https://www.instagram.com/p/CXZPF0zhe7P
380,2021/12/13 18:41,新光三越 台北信義新天地,"(25.0378839456, 121.5669386408)","(25.04, 121.56)",https://www.instagram.com/p/CXa4hRUPXlO
260,2021/12/15 18:10,新光三越 台北信義新天地,"(25.0378839456, 121.5669386408)","(25.04, 121.56)",https://www.instagram.com/p/CXf-juRl3BN
474,2021/12/17 11:58,信義新光三越,"(25.0375213, 121.5669649)","(25.04, 121.56)",https://www.instagram.com/p/CXkditCgbu0
266,2021/12/20 18:08,台北信義香堤廣埸,"(25.0375071058, 121.567081318)","(25.04, 121.56)",https://www.instagram.com/p/CXs2RADvgzU
3,2021/12/12 21:33,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXYnZuiBIuR
274,2021/12/13 22:13,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXbQy-hvMEZ
172,2021/12/16 00:56,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXgtAKuvC8x
22,2021/12/16 18:36,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXimSk9gWlm
1269,2021/12/16 21:36,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXi67X9v7ej
55,2021/12/18 13:58,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXnQCiVL8A_
36613,2021/12/18 14:37,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXnUkjsvsRI
3430,2021/12/18 19:02,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXny7VAJcIj
266,2021/12/19 16:50,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXqIjf2L1HS
160,2021/12/19 22:27,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXqvITQPwMz
20,2021/12/21 01:01,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXtlgT-BqRU
3,2021/12/21 01:11,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXtmqhcJ50o
3,2021/12/21 11:41,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXuuxOFPafw
180,2021/12/21 18:28,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXvdVmrJjzd
1125,2021/12/12 07:29,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXXG0wnBJte
460,2021/12/12 22:07,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXYrVDgvZFO
236,2021/12/17 18:50,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXlMp9OF-bT
3,2021/12/18 18:38,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXnwIMelntj
54,2021/12/18 23:47,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXoTemrPJNN
404,2021/12/19 19:06,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXqYGt9PV_F
2698,2021/12/20 16:46,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXss2hplqNa
3,2021/12/21 19:13,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXvif2sFpV2
12,2021/12/12 13:10,新光三越香堤廣場,"(25.03597, 121.56746)","(25.04, 121.56)",https://www.instagram.com/p/CXXt0QkPtvz
136,2021/12/12 21:28,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXYm3AXv7rt
550,2021/12/13 10:00,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXZ80tavtvW
23,2021/12/13 10:30,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXaAU5NPoZG
771,2021/12/13 18:40,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXa4XQOPfgQ
501,2021/12/14 19:50,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXdlKIavAy4
4143,2021/12/14 20:30,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXdpxPPPMPK
208,2021/12/14 22:37,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXd4QTkPyl8
191,2021/12/15 02:36,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXeTo4thnRc
135,2021/12/15 21:32,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXgVoqgPVcf
16,2021/12/16 13:43,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXiEg7TMz5n
1059,2021/12/17 22:46,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXlnsbQvkkb
41,2021/12/19 20:37,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXqii8TlX9i
89,2021/12/20 18:24,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXs4FKmPvrR
15,2021/12/20 19:40,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXtA3nHJaz3
53,2021/12/20 23:14,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXtZTjRPAaL
329,2021/12/20 23:56,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXteFmxhMVk
281,2021/12/21 18:25,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXvc_PwBrsR
3,2021/12/21 18:25,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXvdDwWPlaf
245,2021/12/21 18:33,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXvd9JhlytR
28,2021/12/21 19:47,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXvmXFHF8qT
1665,2021/12/15 10:04,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXfG9UIFFHl
1068,2021/12/15 19:48,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXgJw6ivKLi
151,2021/12/16 14:07,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXiHgP8L5dX
181,2021/12/16 17:33,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXifI7Up3bc
42,2021/12/20 09:40,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXr8KO3P5Oz
254,2021/12/21 00:59,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXtlUOuPk9E
32,2021/12/21 09:32,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXugD8wvJMK
3,2021/12/21 17:05,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXvT4JYpWuN
115,2021/12/13 22:45,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXbUeZvNU94
512,2021/12/19 20:56,微風信義 Breeze Xin Yi,"(25.0407766174, 121.5666925907)","(25.04, 121.56)",https://www.instagram.com/p/CXqkukhli46
72,2021/12/19 18:37,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXqUyqwBoDe
469,2021/12/16 11:50,信義新光三越A9 館,"(25.0378839456, 121.5669386408)","(25.04, 121.56)",https://www.instagram.com/p/CXh3y0ysXwc
624,2021/12/17 22:10,信義新光三越A9,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXljkHjPzxJ
388,2021/12/18 11:59,信義新光三越A9,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXnChnLrdIC
2038,2021/12/17 17:55,大安森林公園,"(25.0301777778, 121.5356916667)","(25.04, 121.54)",https://www.instagram.com/p/CXlGckIl4I-
12,2021/12/13 17:02,西門町,"(25.0458282261, 121.5056920425)","(25.04, 121.5)",https://www.instagram.com/p/CXatHo3lOcb
3,2021/12/15 17:17,西門町 Ximenting,"(25.0436783946, 121.5070461141)","(25.04, 121.5)",https://www.instagram.com/p/CXf4fKCBGIz
194,2021/12/13 23:23,Shangri-La Taipei 台北遠東香格里拉,"(25.0266797106, 121.5493408361)","(25.02, 121.54)",https://www.instagram.com/p/CXbYzxOPrmq
344,2021/12/21 21:11,新北歡樂耶誕誠,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXvwC7gPFi9
310,2021/12/21 07:25,板橋大遠百,"(25.01369, 121.46663)","(25.02, 121.46)",https://www.instagram.com/p/CXuRgvihvif
3,2021/12/15 23:01,新北市板橋耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXgf00fvveP
506,2021/12/18 09:53,新北市板橋耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXm0BzJvw5G
757,2021/12/18 21:20,新北市板橋耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXoCrRAv6Qb
418,2021/12/19 09:10,新北市板橋耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXpT6hMvNoH
12,2021/12/19 10:28,新北市板橋耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXpc2KyPL8Y
